Split Mata Kuliah,NAMA,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Bisnis dan Ekonomi,Teknologi,Seni,Sastra dan Linguistik,Pendidikan,Hukum,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
Manajemen Keuangan,MANAJEMEN,0.3,0.0,0.0,0.3,0.0,0.0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Sumber Daya Manusia,MANAJEMEN,0.3,0.0,0.0,0.3,0.0,0.0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Pemasaran,MANAJEMEN,0.3,0.0,0.0,0.3,0.0,0.0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Operasional,MANAJEMEN,0.3,0.0,0.0,0.3,0.0,0.0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Strategi,MANAJEMEN,0.3,0.0,0.0,0.3,0.0,0.0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Akuntansi Keuangan,AKUNTANSI,0.6,0.0,0.1,0.1,0.1,0.0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Biaya,AKUNTANSI,0.6,0.0,0.1,0.1,0.1,0.0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Manajemen,AKUNTANSI,0.6,0.0,0.1,0.1,0.1,0.0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Perpajakan,AKUNTANSI,0.6,0.0,0.1,0.1,0.1,0.0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Intermediate,AKUNTANSI,0.6,0.0,0.1,0.1,0.1,0.0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Teori Komunikasi,ILMU KOMUNIKASI,0.1,0.1,0.1,0.4,0.1,0.1,0.4,0.3,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
Jurnalistik,ILMU KOMUNIKASI,0.1,0.1,0.1,0.4,0.1,0.1,0.4,0.3,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
Public Relations,ILMU KOMUNIKASI,0.1,0.1,0.1,0.4,0.1,0.1,0.4,0.3,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
Penyiaran,ILMU KOMUNIKASI,0.1,0.1,0.1,0.4,0.1,0.1,0.4,0.3,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
