Mata Kuliah,NAMA,Description,summary,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Bisnis dan Ekonomi,Teknologi,Seni,Sastra dan Linguistik,Pendidikan,Hukum,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
Manajemen Keuangan,MANAJEMEN,"Course introduction: 

Selamat datang di matakuliah Manajemen Keuangan! Matakuliah ini akan membahas konsep dasar dalam mengelola keuangan perusahaan, dengan tujuan untuk memaksimalkan nilai perusahaan dan mengoptimalkan penggunaan sumber daya keuangan.

Apa yang akan dipelajari:
1. Konsep dasar manajemen keuangan
2. Analisis laporan keuangan
3. Perencanaan keuangan
4. Evaluasi investasi
5. Sumber pendanaan perusahaan
6. Manajemen risiko keuangan
7. Kebijakan dividen

Objective:
Matakuliah ini bertujuan untuk memberikan pemahaman yang komprehensif tentang bagaimana mengelola keuangan perusahaan dengan baik, agar dapat mencapai tujuan keuangan yang diinginkan. 

Materi:
- Konsep dasar manajemen keuangan: pembahasan mengenai tujuan manajemen keuangan, peran keuangan dalam perusahaan, dan prinsip-prinsip dasar dalam pengambilan keputusan keuangan.
- Analisis laporan keuangan: metode untuk menganalisis laporan keuangan dan menginterpretasikan informasi keuangan perusahaan.
- Perencanaan keuangan: teknik perencanaan keuangan jangka pendek dan jangka panjang untuk mencapai kestabilan keuangan perusahaan.
- Evaluasi investasi: teknik analisis investasi untuk memilih proyek investasi yang menguntungkan.
- Sumber pendanaan perusahaan: sumber-sumber pendanaan yang tersedia untuk perusahaan dan kebijakan struktur modal yang optimal.
- Manajemen risiko keuangan: strategi untuk mengelola risiko keuangan perusahaan agar dapat mengurangi kerugian yang mungkin terjadi.
- Kebijakan dividen: kebijakan pembagian laba perusahaan kepada pemegang saham untuk mencapai keseimbangan antara investasi dan keuntungan jangka panjang.

Dengan mengikuti matakuliah Manajemen Keuangan, diharapkan mahasiswa dapat mengembangkan kemampuan dalam menganalisis dan mengelola keuangan perusahaan dengan baik, sehingga dapat memberikan kontribusi yang positif terhadap kesuksesan perusahaan di masa depan.","Rangkuman: Matakuliah Manajemen Keuangan akan membahas konsep dasar dalam mengelola keuangan perusahaan, seperti analisis laporan keuangan, perencanaan keuangan, evaluasi investasi, sumber pendanaan perusahaan, manajemen risiko keuangan, dan kebijakan dividen. Tujuannya adalah memberikan pemahaman komprehensif tentang cara mengelola keuangan perusahaan dengan baik untuk mencapai tujuan keuangan yang diinginkan. Diharapkan mahasiswa dapat mengembangkan kemampuan analisis dan manajemen keuangan perusahaan agar dapat memberikan kontribusi positif terhadap kesuksesan perusahaan di masa depan.",0.3,0,0,0.3,0,0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Sumber Daya Manusia,MANAJEMEN,"Course Introduction:

Selamat datang di matakuliah Manajemen Sumber Daya Manusia! Dalam matakuliah ini, kamu akan diajak untuk memahami pentingnya manajemen sumber daya manusia dalam sebuah organisasi. Kamu akan belajar mengenai bagaimana mengelola tenaga kerja agar dapat memberikan kontribusi maksimal dalam mencapai tujuan perusahaan.

Apa yang akan dipelajari:

1. Konsep dasar manajemen sumber daya manusia
2. Perencanaan kebutuhan SDM
3. Perekrutan dan seleksi karyawan
4. Pengembangan karyawan
5. Evaluasi kinerja karyawan
6. Kompensasi dan benefit
7. Manajemen hubungan kerja

Objective matakuliah ini:

- Memahami pentingnya manajemen sumber daya manusia dalam organisasi
- Mampu merencanakan, mengelola, dan mengembangkan sumber daya manusia secara efektif
- Memahami berbagai konsep dan teori terkait manajemen sumber daya manusia
- Mampu menerapkan konsep dan teori dalam kasus nyata di dunia kerja

Materi matakuliah:

Materi matakuliah Manajemen Sumber Daya Manusia sangat menarik dan praktis. Kamu akan belajar tentang bagaimana menarik bakat terbaik melalui proses perekrutan dan seleksi karyawan, serta bagaimana mengembangkan potensi karyawan melalui program pelatihan dan pengembangan. Selain itu, kamu juga akan mempelajari bagaimana mengukur kinerja karyawan dan memberikan kompensasi yang adil dan sesuai dengan kontribusi mereka. Dengan materi yang variatif dan aplikatif, dijamin kamu akan semakin siap untuk terjun ke dunia kerja setelah menyelesaikan matakuliah ini. Selamat belajar!","Matakuliah Manajemen Sumber Daya Manusia akan mengajarkan konsep dasar manajemen SDM, perencanaan kebutuhan SDM, perekrutan, seleksi, pengembangan, evaluasi kinerja karyawan, kompensasi, dan manajemen hubungan kerja. Tujuan dari matakuliah ini adalah memahami pentingnya SDM dalam organisasi, mampu mengelola SDM secara efektif, memahami konsep dan teori terkait, serta mampu menerapkan dalam kasus nyata. Materi pelajaran praktis dan variatif, termasuk rekrutmen, pengembangan karyawan, pengukuran kinerja, dan kompensasi yang adil. Memungkinkan mahasiswa siap untuk berkarir setelah menyelesaikan matakuliah ini. Selamat belajar!",0.3,0,0,0.3,0,0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Pemasaran,MANAJEMEN,"Halo! Selamat datang di course introduction untuk matakuliah Manajemen Pemasaran. Matakuliah ini akan memberikan pemahaman mendalam mengenai strategi dan teknik dalam mengelola pemasaran suatu produk atau jasa.

Objective dari matakuliah ini adalah untuk memberikan pemahaman tentang konsep dasar manajemen pemasaran, strategi pemasaran, analisis pasar, dan implementasi program pemasaran yang efektif. 

Materi yang akan dipelajari meliputi konsep-konsep dasar dalam pemasaran, analisis lingkungan eksternal dan internal, segmentasi pasar, targeting, positioning, bauran pemasaran (marketing mix), branding, promosi, distribusi, dan evaluasi kinerja pemasaran.

Dengan materi yang variatif dan pembelajaran interaktif, diharapkan para mahasiswa dapat mengembangkan keterampilan dan pengetahuan yang diperlukan untuk menjadi seorang profesional pemasaran yang handal dan mampu bersaing di pasar yang kompetitif. Jadi, siap untuk belajar dan mengeksplorasi dunia menarik dari Manajemen Pemasaran? Ayo bergabung dan mulailah perjalananmu menuju keberhasilan di dunia pemasaran!","Text di atas adalah pengantar untuk course introduction matakuliah Manajemen Pemasaran. Matakuliah ini bertujuan untuk memberikan pemahaman mendalam tentang strategi dan teknik dalam mengelola pemasaran produk atau jasa. Materi yang akan dipelajari meliputi konsep dasar manajemen pemasaran, strategi pemasaran, analisis pasar, dan implementasi program pemasaran yang efektif. Diharapkan para mahasiswa dapat mengembangkan keterampilan dan pengetahuan yang diperlukan untuk menjadi seorang profesional pemasaran yang handal dan mampu bersaing di pasar yang kompetitif.",0.3,0,0,0.3,0,0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Operasional,MANAJEMEN,"Manajemen Operasional, atau yang juga dikenal dengan Operations Management, adalah salah satu matakuliah yang sangat penting dalam dunia bisnis. Matakuliah ini bertujuan untuk memberikan pemahaman mendalam tentang bagaimana suatu perusahaan dapat mengelola proses operasional mereka dengan efisien dan efektif guna mencapai tujuan bisnis mereka.

Dalam matakuliah ini, kita akan mempelajari berbagai konsep dan teknik yang digunakan dalam mengelola operasi bisnis, mulai dari perencanaan dan kontrol produksi, manajemen rantai pasok, pengendalian kualitas, hingga analisis layanan pelanggan. Selain itu, kita juga akan mempelajari bagaimana menggunakan teknologi dan sistem informasi dalam meningkatkan efisiensi operasional perusahaan.

Dengan memahami prinsip-prinsip yang diajarkan dalam Manajemen Operasional, para mahasiswa diharapkan mampu mengidentifikasi dan menyelesaikan berbagai masalah operasional yang mungkin timbul dalam perusahaan, serta dapat mengembangkan strategi untuk meningkatkan kinerja operasional perusahaan secara keseluruhan.

Jadi, jika kamu tertarik untuk memahami bagaimana suatu bisnis dapat berjalan dengan lancar dan efisien, matakuliah Manajemen Operasional ini cocok untuk kamu! Ayo bergabung dan jelajahi dunia manajemen operasional bersama kami!","Rangkuman:

Manajemen Operasional atau Operations Management adalah matakuliah penting dalam dunia bisnis yang bertujuan memberikan pemahaman tentang bagaimana mengelola proses operasional perusahaan dengan efisien dan efektif. Matakuliah ini membahas berbagai konsep dan teknik dalam pengelolaan operasi bisnis, termasuk perencanaan produksi, manajemen rantai pasok, kontrol kualitas, dan analisis layanan pelanggan. Mahasiswa diharapkan dapat mengidentifikasi dan menyelesaikan masalah operasional serta mengembangkan strategi untuk meningkatkan kinerja perusahaan secara keseluruhan. Manajemen Operasional cocok bagi mereka yang ingin memahami bagaimana bisnis berjalan dengan lancar dan efisien.",0.3,0,0,0.3,0,0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Manajemen Strategi,MANAJEMEN,"Course Introduction:

Selamat datang di matakuliah Manajemen Strategi! Di dalam matakuliah ini, kamu akan belajar mengenai konsep-konsep penting dalam mengelola strategi bisnis dalam sebuah organisasi. 

Apa yang akan dipelajari:
1. Konsep Dasar Manajemen Strategi
2. Analisis Lingkungan Eksternal dan Internal
3. Strategi Bisnis dan Pemilihan Strategi
4. Implementasi Strategi dan Pengendalian
5. Evaluasi Kinerja Strategi

Objective dari matakuliah:
- Memahami pentingnya manajemen strategi dalam mencapai tujuan organisasi
- Mampu menganalisis lingkungan eksternal dan internal organisasi untuk merancang strategi yang efektif
- Mengembangkan keterampilan dalam memilih dan mengimplementasikan strategi bisnis yang tepat

Materi yang akan dipelajari:
- Teori-teori manajemen strategi
- Analisis lingkungan eksternal dan internal
- Proses perencanaan strategis
- Pemilihan strategi bisnis
- Implementasi strategi dan pengendalian
- Evaluasi kinerja strategi

Dengan mengikuti matakuliah ini, kamu akan siap untuk menjadi seorang pemimpin yang mampu merancang dan mengimplementasikan strategi bisnis yang sukses! Ayo bergabung dan jelajahi dunia manajemen strategi bersama kami.","Matakuliah Manajemen Strategi akan membahas konsep-konsep penting dalam mengelola strategi bisnis dalam sebuah organisasi, seperti konsep dasar manajemen strategi, analisis lingkungan eksternal dan internal, strategi bisnis, implementasi strategi, dan evaluasi kinerja strategi. Tujuan dari matakuliah ini adalah memahami pentingnya manajemen strategi dalam mencapai tujuan organisasi, mampu menganalisis lingkungan organisasi, dan mengembangkan keterampilan dalam memilih dan mengimplementasikan strategi bisnis yang tepat. Materi yang akan dipelajari meliputi teori-teori manajemen strategi, analisis lingkungan, perencanaan strategis, pemilihan strategi bisnis, implementasi strategi, dan evaluasi kinerja strategi. Dengan mengikuti matakuliah ini, mahasiswa akan siap untuk menjadi pemimpin yang mampu merancang dan mengimplementasikan strategi bisnis yang sukses.",0.3,0,0,0.3,0,0,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
Akuntansi Keuangan,AKUNTANSI,"Halo! Selamat datang di matakuliah Akuntansi Keuangan. Mungkin bagi sebagian orang istilah-istilah seperti neraca, laba rugi, dan arus kas terdengar sedikit rumit, tapi jangan khawatir! Di sini kita akan belajar bersama tentang bagaimana mengelola keuangan secara profesional dan efektif.

Tujuan dari matakuliah ini adalah untuk memberikan pemahaman yang lebih mendalam tentang bagaimana membuat laporan keuangan yang akurat dan transparan. Kita akan belajar bagaimana mencatat transaksi keuangan, menyusun neraca, laba rugi, serta arus kas, dan menganalisis kinerja keuangan suatu entitas.

Materi yang akan dipelajari meliputi konsep dasar akuntansi, prinsip-prinsip akuntansi, standar pelaporan keuangan, serta teknik-teknik analisis keuangan. Selain itu, kita juga akan mempelajari bagaimana melakukan audit atas laporan keuangan untuk memastikan kebenaran dan keandalan informasi yang disajikan.

Jadi, jangan takut untuk belajar Akuntansi Keuangan! Bersama-sama kita akan melewati materi ini dengan baik dan mengasah kemampuan kita dalam mengelola keuangan dengan lebih profesional. Selamat belajar!","Rangkuman: Matakuliah Akuntansi Keuangan akan membantu mahasiswa memahami konsep dasar akuntansi, prinsip-prinsip akuntansi, standar pelaporan keuangan, serta teknik-teknik analisis keuangan. Tujuan utamanya adalah untuk mengajarkan cara membuat laporan keuangan yang akurat dan transparan, serta melakukan audit atas laporan keuangan. Meskipun istilah-istilah seperti neraca dan laba rugi mungkin terdengar rumit, mahasiswa tidak perlu khawatir karena mereka akan belajar bersama dan mengasah kemampuan mereka dalam mengelola keuangan secara profesional. Selamat belajar!",0.6,0,0.1,0.1,0.1,0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Biaya,AKUNTANSI,"Akuntansi Biaya merupakan mata kuliah yang mempelajari tentang pengelolaan biaya dalam suatu perusahaan. Dalam mata kuliah ini, kita akan belajar mengenai konsep dasar dan teknik perhitungan biaya, serta bagaimana mengelola biaya agar dapat meningkatkan efisiensi dan keuntungan perusahaan.

Objective dari matakuliah ini adalah agar kita dapat memahami peranan biaya dalam pengambilan keputusan manajemen, serta mampu mengimplementasikan strategi pengelolaan biaya yang tepat guna meningkatkan kinerja perusahaan.

Materi yang akan dipelajari meliputi konsep dasar biaya, sistem biaya tradisional dan sistem biaya modern, analisis biaya untuk pengambilan keputusan, perencanaan dan pengendalian biaya, serta strategi pengelolaan biaya dalam berbagai jenis industri.

Dengan memahami dan menguasai materi dalam mata kuliah Akuntansi Biaya, diharapkan kita dapat menjadi profesional yang mampu memberikan kontribusi positif dalam pengelolaan keuangan perusahaan serta mampu memberikan solusi yang efektif dalam menghadapi tantangan bisnis di masa depan. Jadi, yuk kita gali ilmu sebanyak mungkin dalam mata kuliah ini!","Rangkuman:
- Mata kuliah Akuntansi Biaya membahas pengelolaan biaya dalam perusahaan
- Materi meliputi konsep dasar biaya, perhitungan biaya, pengelolaan biaya untuk efisiensi dan keuntungan perusahaan
- Tujuan matakuliah adalah memahami peranan biaya dalam pengambilan keputusan manajemen dan mengimplementasikan strategi pengelolaan biaya
- Materi juga mencakup sistem biaya tradisional dan modern, analisis biaya, perencanaan dan pengendalian biaya, serta strategi pengelolaan biaya dalam berbagai industri
- Diharapkan mahasiswa bisa menjadi profesional yang mampu memberikan kontribusi positif dalam pengelolaan keuangan perusahaan dan menghadapi tantangan bisnis di masa depan.",0.6,0,0.1,0.1,0.1,0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Manajemen,AKUNTANSI,"Salam sejahtera! Selamat datang di matakuliah Akuntansi Manajemen. Matakuliah ini akan membawa kalian dalam perjalanan mendalam ke dunia manajerial dan akuntansi. 

Di dalam matakuliah ini, kalian akan mempelajari konsep dasar akuntansi manajemen dan bagaimana akuntansi dapat digunakan untuk mendukung pengambilan keputusan manajerial yang efektif. Selain itu, kalian juga akan belajar tentang perencanaan dan pengendalian biaya, analisis kinerja, evaluasi investasi, serta pengambilan keputusan strategis.

Objective dari matakuliah ini adalah untuk mempersiapkan kalian menjadi manajer yang mampu menggunakan informasi akuntansi dengan bijak, dalam rangka meningkatkan kinerja perusahaan dan mencapai tujuan bisnis yang telah ditetapkan.

Materi yang akan kalian pelajari mencakup berbagai topik menarik seperti sistem informasi akuntansi, analisis biaya, perhitungan harga pokok produk, perencanaan laba, analisis titik impas, hingga analisis break-even. Semua materi ini akan diajarkan dengan metode yang interaktif dan aplikatif, sehingga kalian dapat langsung mengaplikasikan ilmu yang telah dipelajari dalam dunia nyata.

Jadi, siapkan diri kalian untuk menjelajahi dunia yang menarik dan menantang dalam matakuliah Akuntansi Manajemen ini. Selamat belajar!","Matakuliah Akuntansi Manajemen membawa kalian ke dunia manajerial dan akuntansi dengan mempelajari konsep dasar akuntansi manajemen, perencanaan dan pengendalian biaya, analisis kinerja, evaluasi investasi, dan pengambilan keputusan strategis. Tujuannya adalah mempersiapkan kalian menjadi manajer yang dapat menggunakan informasi akuntansi untuk meningkatkan kinerja perusahaan. Materi yang diajarkan meliputi sistem informasi akuntansi, analisis biaya, perhitungan harga pokok produk, perencanaan laba, analisis titik impas, dan analisis break-even, dengan metode belajar yang interaktif dan aplikatif. Selamat belajar dan siapkan diri untuk menjelajahi dunia menarik dalam matakuliah ini.",0.6,0,0.1,0.1,0.1,0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Perpajakan,AKUNTANSI,"Course Introduction:
Selamat datang di matakuliah Akuntansi Perpajakan! Matakuliah ini akan membahas tentang konsep dasar perpajakan dan bagaimana pengaruhnya terhadap proses pengelolaan keuangan perusahaan. Jadi, siap-siap untuk memahami seluk-beluk dunia perpajakan yang akan membantu Anda dalam karir akuntansi Anda di masa depan.

Apa yang akan dipelajari:
Dalam matakuliah ini, Anda akan diajarkan mengenai berbagai jenis pajak yang dikenakan di Indonesia, prosedur perhitungan pajak, serta strategi perpajakan yang dapat digunakan untuk mengoptimalkan pengelolaan pajak perusahaan. Selain itu, Anda juga akan mempelajari bagaimana memenuhi kewajiban perpajakan sesuai dengan aturan yang berlaku.

Objective dari matakuliah ini:
Tujuan dari matakuliah Akuntansi Perpajakan adalah agar mahasiswa memiliki pemahaman yang jelas mengenai konsep dasar perpajakan dan mampu menerapkannya dalam konteks perusahaan. Dengan demikian, mahasiswa diharapkan dapat menjadi profesional yang kompeten dalam mengelola perpajakan perusahaan secara efektif.

Materi yang akan dipelajari:
Materi yang akan dipelajari dalam matakuliah ini meliputi: 
1. Konsep dasar perpajakan
2. Jenis-jenis pajak yang dikenakan di Indonesia
3. Prosedur perhitungan pajak
4. Strategi perpajakan
5. Etika dalam perpajakan
6. Penyusunan laporan perpajakan
7. Studi kasus perpajakan

Jadi, jangan lewatkan kesempatan untuk memperdalam pengetahuan Anda tentang dunia perpajakan melalui matakuliah ini. Siapkan diri Anda untuk menjadi seorang profesional akuntan yang mampu mengelola perpajakan perusahaan dengan baik!","Matakuliah Akuntansi Perpajakan membahas konsep dasar perpajakan, berbagai jenis pajak di Indonesia, prosedur perhitungan pajak, strategi perpajakan, dan kewajiban perpajakan. Tujuannya adalah agar mahasiswa bisa mengelola perpajakan perusahaan dengan efektif, dan materi yang dipelajari meliputi konsep dasar perpajakan, jenis-jenis pajak, prosedur perhitungan, strategi, etika, penyusunan laporan, dan studi kasus perpajakan. Jadi, siapkan diri Anda untuk menjadi seorang profesional akuntan yang kompeten dalam mengelola perpajakan perusahaan.",0.6,0,0.1,0.1,0.1,0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
Akuntansi Intermediate,AKUNTANSI,"Tentu! 

Course Introduction: 

Selamat datang di matakuliah Akuntansi Intermediate! Matakuliah ini merupakan lanjutan dari matakuliah Akuntansi Dasar, di mana kamu akan mempelajari konsep-konsep yang lebih mendalam dalam bidang akuntansi. 

Apa yang akan dipelajari: 

Di dalam matakuliah ini, kamu akan belajar tentang analisis laporan keuangan, pembuatan laporan keuangan yang lebih kompleks, serta pembahasan mengenai perpajakan dan standar akuntansi yang berlaku. Kamu juga akan diajarkan mengenai konsep pengakuan pendapatan, biaya, dan aset dalam suatu perusahaan.

Objective dari matakuliah ini: 

Objective dari matakuliah Akuntansi Intermediate adalah agar mahasiswa dapat memahami konsep-konsep akuntansi secara mendalam, mampu menerapkan teknik-teknik akuntansi yang lebih kompleks, dan dapat menganalisis kondisi keuangan suatu perusahaan secara lebih terperinci.

Materi yang akan dipelajari: 

Materi yang akan dipelajari dalam matakuliah ini meliputi analisis laporan keuangan, memahami siklus akuntansi, teknik-teknik akuntansi untuk perpajakan, dan mengenai standar-standar akuntansi yang berlaku baik di Indonesia maupun internasional. Kamu juga akan mempelajari tentang pengaruh transaksi bisnis terhadap laporan keuangan suatu perusahaan.

Dengan materi yang menarik dan berguna ini, diharapkan kamu dapat mengaplikasikan ilmu yang didapat dalam kehidupan nyata serta meningkatkan pemahamanmu dalam bidang akuntansi. Selamat belajar!","Matakuliah Akuntansi Intermediate adalah lanjutan dari Akuntansi Dasar yang membahas konsep-konsep akuntansi lebih mendalam. Mahasiswa akan mempelajari analisis laporan keuangan, pembuatan laporan keuangan kompleks, perpajakan, dan standar akuntansi yang berlaku. Tujuan matakuliah ini adalah agar mahasiswa memahami konsep akuntansi secara mendalam, mampu menerapkan teknik akuntansi kompleks, dan analisis kondisi keuangan perusahaan secara terperinci. Materi yang diajarkan meliputi analisis laporan keuangan, siklus akuntansi, teknik akuntansi perpajakan, standar akuntansi, dan pengaruh transaksi bisnis terhadap laporan keuangan perusahaan. Diharapkan mahasiswa dapat mengaplikasikan ilmu yang didapat dalam kehidupan nyata dan meningkatkan pemahaman dalam bidang akuntansi. Selamat belajar!",0.6,0,0.1,0.1,0.1,0,0.6,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
