KODE,NAMA,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO,PERGURUAN TINGGI
111001,PENDIDIKAN DOKTER HEWAN,Sarjana,84,548,Tidak Ada,UNIVERSITAS SYIAH KUALA
111002,TEKNIK SIPIL,Sarjana,98,587,Tidak Ada,UNIVERSITAS SYIAH KUALA
111003,TEKNIK MESIN,Sarjana,42,231,Tidak Ada,UNIVERSITAS SYIAH KUALA
111004,TEKNIK KIMIA,Sarjana,56,155,Tidak Ada,UNIVERSITAS SYIAH KUALA
111005,ARSITEKTUR,Sarjana,56,296,Tidak Ada,UNIVERSITAS SYIAH KUALA
111006,TEKNIK ELEKTRO,Sarjana,56,224,Tidak Ada,UNIVERSITAS SYIAH KUALA
111007,AGROTEKNOLOGI,Sarjana,42,188,Tidak Ada,UNIVERSITAS SYIAH KUALA
111008,AGRIBISNIS,Sarjana,56,288,Tidak Ada,UNIVERSITAS SYIAH KUALA
111009,PETERNAKAN,Sarjana,42,131,Tidak Ada,UNIVERSITAS SYIAH KUALA
111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,56,104,Tidak Ada,UNIVERSITAS SYIAH KUALA
111011,TEKNIK PERTANIAN,Sarjana,56,229,Tidak Ada,UNIVERSITAS SYIAH KUALA
111012,PENDIDIKAN BIOLOGI,Sarjana,56,169,Tidak Ada,UNIVERSITAS SYIAH KUALA
111013,PENDIDIKAN MATEMATIKA,Sarjana,56,161,Tidak Ada,UNIVERSITAS SYIAH KUALA
111014,PENDIDIKAN FISIKA,Sarjana,56,45,Tidak Ada,UNIVERSITAS SYIAH KUALA
111015,PENDIDIKAN KIMIA,Sarjana,42,46,Tidak Ada,UNIVERSITAS SYIAH KUALA
111016,PENDIDIKAN DOKTER,Sarjana,88,1971,Tidak Ada,UNIVERSITAS SYIAH KUALA
111017,KEPERAWATAN,Sarjana,126,1072,Tidak Ada,UNIVERSITAS SYIAH KUALA
111018,PENDIDIKAN DOKTER GIGI,Sarjana,35,946,Tidak Ada,UNIVERSITAS SYIAH KUALA
111019,MATEMATIKA,Sarjana,42,68,Tidak Ada,UNIVERSITAS SYIAH KUALA
111020,FISIKA,Sarjana,42,34,Tidak Ada,UNIVERSITAS SYIAH KUALA
111021,KIMIA,Sarjana,42,64,Tidak Ada,UNIVERSITAS SYIAH KUALA
111022,BIOLOGI,Sarjana,42,97,Tidak Ada,UNIVERSITAS SYIAH KUALA
111023,ILMU KELAUTAN,Sarjana,56,188,Tidak Ada,UNIVERSITAS SYIAH KUALA
111024,BUDIDAYA PERAIRAN,Sarjana,56,96,Tidak Ada,UNIVERSITAS SYIAH KUALA
111025,TEKNIK INDUSTRI,Sarjana,42,367,Tidak Ada,UNIVERSITAS SYIAH KUALA
111026,TEKNIK INFORMATIKA,Sarjana,42,1108,Tidak Ada,UNIVERSITAS SYIAH KUALA
111027,FARMASI,Sarjana,28,1439,Tidak Ada,UNIVERSITAS SYIAH KUALA
111028,TEKNIK GEOFISIKA,Sarjana,42,81,Tidak Ada,UNIVERSITAS SYIAH KUALA
111029,TEKNIK PERTAMBANGAN,Sarjana,42,641,Tidak Ada,UNIVERSITAS SYIAH KUALA
111030,STATISTIKA,Sarjana,42,250,Tidak Ada,UNIVERSITAS SYIAH KUALA
111031,PEMANFAATAN SUMBER DAYA PERIKANAN,Sarjana,42,80,Tidak Ada,UNIVERSITAS SYIAH KUALA
111032,ILMU TANAH,Sarjana,42,103,Tidak Ada,UNIVERSITAS SYIAH KUALA
111033,TEKNIK GEOLOGI,Sarjana,28,140,Tidak Ada,UNIVERSITAS SYIAH KUALA
111036,KEHUTANAN,Sarjana,21,28,Tidak Ada,UNIVERSITAS SYIAH KUALA
111037,PROTEKSI TANAMAN,Sarjana,28,61,Tidak Ada,UNIVERSITAS SYIAH KUALA
111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,42,340,Tidak Ada,UNIVERSITAS SYIAH KUALA
111040,TEKNIK KOMPUTER,Sarjana,56,738,Tidak Ada,UNIVERSITAS SYIAH KUALA
111041,EKONOMI PEMBANGUNAN,Sarjana,56,378,Tidak Ada,UNIVERSITAS SYIAH KUALA
111042,MANAJEMEN,Sarjana,70,1232,Tidak Ada,UNIVERSITAS SYIAH KUALA
111043,AKUNTANSI,Sarjana,70,772,Tidak Ada,UNIVERSITAS SYIAH KUALA
111044,ILMU HUKUM,Sarjana,196,1345,Tidak Ada,UNIVERSITAS SYIAH KUALA
111045,PENDIDIKAN PANCASLA DAN KEWARGANEGARAAN,Sarjana,49,237,Tidak Ada,UNIVERSITAS SYIAH KUALA
111046,PENDIDIKAN SEJARAH,Sarjana,42,162,Tidak Ada,UNIVERSITAS SYIAH KUALA
111047,PENDIDIKAN EKONOMI,Sarjana,56,137,Tidak Ada,UNIVERSITAS SYIAH KUALA
111048,PENDIDIKAN GEOGRAFI,Sarjana,56,106,Tidak Ada,UNIVERSITAS SYIAH KUALA
111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,56,320,Tidak Ada,UNIVERSITAS SYIAH KUALA
111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,56,361,Tidak Ada,UNIVERSITAS SYIAH KUALA
111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,56,64,Sendratasik,UNIVERSITAS SYIAH KUALA
111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,56,446,Tidak Ada,UNIVERSITAS SYIAH KUALA
111053,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,Sarjana,56,177,Pendidikan Jasmani dan Olahraga,UNIVERSITAS SYIAH KUALA
111054,BIMBINGAN KONSELING,Sarjana,42,592,Tidak Ada,UNIVERSITAS SYIAH KUALA
111055,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,70,827,Tidak Ada,UNIVERSITAS SYIAH KUALA
111056,PSIKOLOGI,Sarjana,28,800,Tidak Ada,UNIVERSITAS SYIAH KUALA
111057,ILMU POLITIK,Sarjana,56,222,Tidak Ada,UNIVERSITAS SYIAH KUALA
111058,SOSIOLOGI,Sarjana,56,204,Tidak Ada,UNIVERSITAS SYIAH KUALA
111059,ILMU KOMUNIKASI,Sarjana,63,723,Tidak Ada,UNIVERSITAS SYIAH KUALA
111060,PENDIDIKAN ANAK USIA DINI,Sarjana,49,333,Tidak Ada,UNIVERSITAS SYIAH KUALA
111061,ILMU PEMERINTAHAN,Sarjana,63,356,Tidak Ada,UNIVERSITAS SYIAH KUALA
111062,EKONOMI ISLAM,Sarjana,56,388,Tidak Ada,UNIVERSITAS SYIAH KUALA
111065,AKUNTANSI PERPAJAKAN,Sarjana Terapan,28,90,Tidak Ada,UNIVERSITAS SYIAH KUALA
111064,KESEHATAN HEWAN,Diploma Tiga,11,25,Tidak Ada,UNIVERSITAS SYIAH KUALA
111066,MANAJEMEN AGRIBISNIS,Diploma Tiga,28,20,Tidak Ada,UNIVERSITAS SYIAH KUALA
111067,TEKNIK LISTRIK,Diploma Tiga,14,9,Tidak Ada,UNIVERSITAS SYIAH KUALA
111068,BUDIDAYA PETERNAKAN,Diploma Tiga,14,11,Tidak Ada,UNIVERSITAS SYIAH KUALA
111069,TEKNIK MESIN,Diploma Tiga,14,23,Tidak Ada,UNIVERSITAS SYIAH KUALA
