NAMA,PEMINAT 2023,Description,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
MANAJEMEN,84340," MANAJEMEN adalah jurusan yang mempelajari teori dan praktik dalam mengelola sumber daya manusia, keuangan, dan operasional suatu organisasi atau perusahaan. Para mahasiswa jurusan ini akan belajar tentang perencanaan, pengorganisasian, pengarahan, dan pengendalian dalam mencapai tujuan organisasi secara efektif dan efisien. Mereka akan mendapatkan pengetahuan dan keterampilan dalam manajemen strategis, manajemen operasional, manajemen keuangan, manajemen sumber daya manusia, dan manajemen pemasaran. Selain itu, mereka juga akan mempelajari tentang analisis bisnis, penerapan teknologi informasi dalam manajemen, kepemimpinan, etika bisnis, dan kewirausahaan. Jurusan MANAJEMEN dapat membantu mahasiswa untuk menjadi pemimpin yang mampu mengelola organisasi dengan baik dan mencapai kesuksesan dalam dunia bisnis.","1. Manajemen Keuangan
2. Manajemen Sumber Daya Manusia
3. Manajemen Pemasaran
4. Manajemen Operasional
5. Manajemen Strategi
6. Manajemen Bisnis Internasional
7. Manajemen Produksi
8. Manajemen Perubahan Organisasi
9. Manajemen Kewirausahaan
10. Manajemen Kepegawaian",0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,7
AKUNTANSI,63257,"Jurusan Akuntansi adalah salah satu jurusan dalam bidang bisnis dan keuangan yang mempelajari mekanisme pengelolaan keuangan, pembukuan, dan pelaporan keuangan suatu entitas baik itu perusahaan, organisasi, maupun individu. Para mahasiswa jurusan Akuntansi akan mempelajari dasar-dasar matematika keuangan, prinsip akuntansi, perpajakan, audit, dan manajemen keuangan. Mereka juga akan terampil dalam menganalisis laporan keuangan, merencanakan strategi keuangan yang efektif, serta memahami peraturan perpajakan dan audit yang berlaku. Jurusan Akuntansi mempersiapkan lulusannya untuk bekerja sebagai akuntan, auditor, analis keuangan, atau manajer keuangan di berbagai industri dan sektor. Mahasiswa jurusan Akuntansi juga akan diajarkan untuk dapat memahami etika bisnis dan profesionalisme dalam bekerja dengan data keuangan yang sensitif. Dengan memiliki pengetahuan dan keterampilan yang diperoleh selama studi, lulusan jurusan Akuntansi diharapkan mampu membantu organisasi dalam pengambilan keputusan finansial yang tepat dan berkelanjutan.","1. Akuntansi Keuangan
2. Akuntansi Biaya
3. Akuntansi Manajemen
4. Akuntansi Perpajakan
5. Akuntansi Intermediate
6. Akuntansi Forensik
7. Akuntansi Lembaga Keuangan
8. Akuntansi Syariah
9. Akuntansi Audit
10. Akuntansi Pemerintahan",0.6,0.0,0.1,0.1,0.1,0.0,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.4,1
ILMU KOMUNIKASI,57627," Jurusan Ilmu Komunikasi adalah salah satu jurusan yang mempelajari teori dan praktik komunikasi dalam berbagai bentuknya. Jurusan ini memberikan pemahaman mendalam tentang bagaimana pesan disampaikan, diterima, dan dipahami oleh masyarakat secara efektif. Selain itu, jurusan ini juga mengajarkan keterampilan dalam berbagai bidang komunikasi seperti public relations, broadcasting, jurnalistik, advertising, dan komunikasi pemasaran. Jurusan Ilmu Komunikasi mempersiapkan mahasiswa untuk menjadi profesional yang mampu mengelola komunikasi dalam berbagai situasi dan membangun hubungan yang baik antara individu, kelompok, dan organisasi.","1. Teori Komunikasi
2. Jurnalistik
3. Public Relations
4. Penyiaran
5. Komunikasi Organisasi
6. Media Sosial
7. Fotografi
8. Editing Video
9. Pemasaran
10. Riset Komunikasi",0.1,0.1,0.1,0.4,0.1,0.1,0.3,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.9,0.1,0.3,16
PSIKOLOGI,54772,"Jurusan Psikologi adalah cabang ilmu yang mempelajari perilaku, pikiran, dan emosi manusia. Di dalam jurusan ini, mahasiswa akan belajar tentang bermacam-macam teori psikologi, metode observasi dan penelitian, serta teknik intervensi dan konseling untuk membantu individu mengatasi masalah psikologis. Selain itu, mahasiswa juga akan mempelajari anatomi dan fisiologi otak serta sistem saraf manusia untuk lebih memahami bagaimana proses mental dan emosional manusia terjadi. Jurusan Psikologi memiliki berbagai macam bidang spesialisasi seperti psikologi klinis, psikologi pendidikan, psikologi industri, dan psikologi sosial yang dapat ditekuni oleh para mahasiswa sesuai minat dan bakat mereka. Dengan demikian, jurusan Psikologi menjadi salah satu pilihan yang menarik bagi para calon mahasiswa yang tertarik untuk memahami lebih dalam tentang pikiran dan perilaku manusia.","1. Psikologi Klinis
2. Psikologi Industri
3. Psikologi Pendidikan
4. Psikologi Sosial
5. Psikologi Eksperimen
6. Psikologi Forensik
7. Psikologi Perkembangan
8. Psikologi Abnormal
9. Psikologi Kognitif
10. Psikologi Positif",0.3,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.8,0.1,0.3,0.3,0.2,14
ILMU HUKUM,44576,"Jurusan Ilmu Hukum adalah salah satu jurusan di perguruan tinggi yang mempelajari tentang aspek-aspek hukum, termasuk hukum positif, hukum internasional, dan hukum perdata maupun pidana. Mahasiswa jurusan ini akan belajar tentang berbagai teori dan konsep hukum, serta penerapannya dalam masyarakat. Mereka juga akan memahami proses peradilan, penegakan hukum, dan tata cara pengaturan hukum di berbagai bidang kehidupan.

Selain itu, mahasiswa Ilmu Hukum juga akan dilatih untuk memiliki kemampuan analisis yang baik, pemahaman tentang etika dan moralitas hukum, serta keterampilan dalam penulisan dan penyampain argumen secara logis. Jurusan ini juga akan memberikan pemahaman tentang sistem hukum di Indonesia maupun di tingkat internasional, serta hubungan antara hukum dengan bidang-bidang lain seperti bisnis, politik, dan sosial.

Dengan demikian, lulusan jurusan Ilmu Hukum diharapkan memiliki kompetensi untuk menjadi seorang ahli hukum, jaksa, advokat, notaris, hakim, atau pun pejabat pemerintah yang memiliki pengetahuan dan keterampilan yang baik dalam mengelola berbagai permasalahan hukum di masyarakat.","1. Hukum Acara Perdata
2. Hukum Acara Pidana
3. Hukum Keluarga
4. Hukum Perdata
5. Hukum Pidana
6. Hukum Administrasi Negara
7. Hukum Internasional
8. Hukum Lingkungan
9. Hukum Agraria
10. Hukum Bisnis",0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.4,0.1,0.9,12
FARMASI,42905,"Farmasi adalah jurusan kuliah yang mempelajari tentang ilmu farmasi dan pengobatan. Dalam jurusan ini, mahasiswa akan belajar tentang berbagai macam obat-obatan, mulai dari pengembangan, produksi, hingga penggunaannya dalam praktik medis. Mereka juga akan mempelajari tentang kimia farmasi, farmakologi, farmasetika, dan etika dalam praktik farmasi. Setelah lulus, lulusan jurusan farmasi dapat bekerja sebagai apoteker, peneliti farmasi, atau bekerja di industri farmasi. Jurusan ini sangat penting karena berkaitan langsung dengan kesehatan masyarakat dan pengembangan obat-obatan yang bisa menyelamatkan nyawa.","1. Farmasi Dasar
2. Kimia Farmasi
3. Biologi Farmasi
4. Analisis Obat
5. Farmakologi
6. Toksikologi
7. Fisika Farmasi
8. Mikrobiologi Farmasi
9. Farmasetika
10. Kedokteran Farmasi",0.4,0.7,0.3,0.2,0.5,0.5,0.1,0.2,0.1,0.1,0.1,0.2,0.8,0.1,0.1,0.1,0.1,14
TEKNIK INFORMATIKA,38540,"Jurusan Teknik Informatika adalah salah satu jurusan di perguruan tinggi yang mempelajari tentang pengembangan dan penerapan teknologi informasi dan komunikasi dalam berbagai bidang. Jurusan ini memberikan pembelajaran mengenai pemrograman, jaringan komputer, basis data, keamanan informasi, serta sistem informasi. Para mahasiswa jurusan Teknik Informatika akan dilatih untuk mengembangkan solusi teknologi informasi yang inovatif dan efisien, serta mampu mengelola sistem informasi dengan baik. Selain itu, mereka juga akan diajarkan untuk menguasai berbagai metode dan teknologi terkini dalam industri teknologi informasi. Dengan demikian, lulusan jurusan Teknik Informatika diharapkan mampu menjadi tenaga ahli yang handal dalam menghadapi tantangan di era digital ini.","1. Pemrograman Dasar
2. Struktur Data
3. Algoritma dan Pemrograman
4. Sistem Operasi
5. Jaringan Komputer
6. Basis Data
7. Pemrograman Web
8. Perancangan Sistem Informasi
9. Kecerdasan Buatan
10. Keamanan Informasi",0.8,0.3,0.2,0.1,0.1,0.1,0.9,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,8
KEDOKTERAN,35803,"Bidang studi kedokteran merupakan salah satu jurusan kuliah yang fokus pada ilmu kesehatan manusia dan praktik medis. Mahasiswa jurusan ini akan mempelajari berbagai aspek kesehatan, mulai dari diagnosa penyakit, pengobatan, pencegahan penyakit, hingga rehabilitasi pasien.

Selain itu, mahasiswa kedokteran juga akan belajar tentang anatomi tubuh manusia, fisiologi, farmakologi, biokimia, mikrobiologi, dan berbagai disiplin ilmu lainnya yang berkaitan dengan bidang kesehatan. Mereka akan dilatih untuk menjadi dokter yang kompeten dan mampu merawat pasien dengan baik.

Selama kuliah, mahasiswa kedokteran juga akan mendapatkan pelatihan klinik dan praktik medis di berbagai rumah sakit atau pusat kesehatan. Mereka juga akan belajar keterampilan komunikasi yang baik, etika medis, dan profesionalisme dalam menjalani karir sebagai dokter.

Dengan latar belakang pendidikan di bidang kedokteran, mahasiswa diharapkan dapat menyumbangkan pengetahuan dan keterampilan mereka untuk meningkatkan kesehatan masyarakat, mengurangi angka penyakit, dan meningkatkan kualitas hidup individu. Jurusan kuliah kedokteran adalah pilihan yang sangat baik bagi mereka yang memiliki tujuan untuk membantu orang lain dan menciptakan dampak positif dalam dunia kesehatan.","1. Anatomi
2. Fisiologi
3. Patologi
4. Farmakologi
5. Bedah
6. Obstetri dan Ginekologi
7. Radiologi
8. Mikrobiologi
9. Imunologi
10. Psikiatri",0.2,0.7,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.9,0.1,0.2,0.1,0.2,14
TEKNIK SIPIL,33289,"Jurusan Teknik Sipil merupakan salah satu jurusan di bidang teknik yang fokus pada pemahaman dan penerapan ilmu teknik dalam pengembangan infrastruktur fisik seperti jalan, jembatan, gedung, dan lain sebagainya. Di dalam jurusan ini, mahasiswa akan mempelajari berbagai aspek teknik sipil mulai dari perencanaan, perancangan, konstruksi, hingga pemeliharaan infrastruktur.

Selain itu, mahasiswa jurusan Teknik Sipil juga akan mempelajari berbagai materi terkait dengan bahan konstruksi, teknik geoteknik, teknik struktur, teknik transportasi, dan sebagainya. Dengan demikian, lulusan jurusan Teknik Sipil diharapkan mampu menjadi ahli yang kompeten dalam merancang dan membangun infrastruktur fisik yang berkelanjutan dan berdaya tahan.

Dalam dunia kerja, lulusan jurusan Teknik Sipil memiliki peluang karir yang luas seperti menjadi konsultan konstruksi, insinyur perencana infrastruktur, manajer proyek konstruksi, atau bahkan membuka usaha sendiri di bidang konstruksi dan konsultasi teknik sipil. Selain itu, pilihan karir lainnya juga bisa menjadi pengajar atau peneliti di bidang Teknik Sipil.","1. Matematika Teknik
2. Mekanika Tanah
3. Beton Bertulang
4. Struktur Baja
5. Hidrologi
6. Teknik Transportasi
7. Teknik Geoteknik
8. Estimasi Biaya Konstruksi
9. Teknik Sumber Daya Air
10. Manajemen Proyek Teknik Sipil",0.5,0.4,0.8,0.1,0.1,0.1,0.4,0.3,0.3,0.0,0.1,0.3,0.1,0.4,0.2,0.1,0.3,3
PENDIDIKAN DOKTER,31894,"Bidang studi kedokteran merupakan salah satu jurusan kuliah yang fokus pada ilmu kesehatan manusia dan praktik medis. Mahasiswa jurusan ini akan mempelajari berbagai aspek kesehatan, mulai dari diagnosa penyakit, pengobatan, pencegahan penyakit, hingga rehabilitasi pasien.

Selain itu, mahasiswa kedokteran juga akan belajar tentang anatomi tubuh manusia, fisiologi, farmakologi, biokimia, mikrobiologi, dan berbagai disiplin ilmu lainnya yang berkaitan dengan bidang kesehatan. Mereka akan dilatih untuk menjadi dokter yang kompeten dan mampu merawat pasien dengan baik.

Selama kuliah, mahasiswa kedokteran juga akan mendapatkan pelatihan klinik dan praktik medis di berbagai rumah sakit atau pusat kesehatan. Mereka juga akan belajar keterampilan komunikasi yang baik, etika medis, dan profesionalisme dalam menjalani karir sebagai dokter.

Dengan latar belakang pendidikan di bidang kedokteran, mahasiswa diharapkan dapat menyumbangkan pengetahuan dan keterampilan mereka untuk meningkatkan kesehatan masyarakat, mengurangi angka penyakit, dan meningkatkan kualitas hidup individu. Jurusan kuliah kedokteran adalah pilihan yang sangat baik bagi mereka yang memiliki tujuan untuk membantu orang lain dan menciptakan dampak positif dalam dunia kesehatan.","1. Anatomi
2. Fisiologi
3. Patologi
4. Farmakologi
5. Bedah
6. Obstetri dan Ginekologi
7. Radiologi
8. Mikrobiologi
9. Imunologi
10. Psikiatri",0.2,0.7,0.1,0.1,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.9,0.1,0.2,0.1,0.2,14
